source,year,subject,directory_scope,region,paper_family,track,pages,page_error,size_bytes,sha256,warnings,existing_record_ids,action,replacement_candidates
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（四川）英语高考真题/2020年高考英语试卷（新课标Ⅲ卷）（空白卷）.pdf,2020,英语,SC,全国,全国3卷,,11,,177144,48064be07f05e131ac48705ba2023482626ba4e2a56a38c1741583607116c253,,,temp_identity_duplicate,
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（四川）英语高考真题/2021年高考英语试卷（全国甲卷）（空白卷）.pdf,2021,英语,SC,全国,全国甲卷,,11,,214697,2889e3176fa0b27371aa8c7f6547130659287d11df88b7104bc8b3d4bca78720,,,temp_identity_duplicate,
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（四川）英语高考真题/2022年高考英语试卷（全国甲卷）（空白卷）.pdf,2022,英语,SC,全国,全国甲卷,,12,,157110,97b2806b5a9cc994236f8fbb47f5bf59e31cce474376fb2ac971552ae98e0d6c,,temp-2022-英语-7c6b285312be,same_identity_existing,temp-2022-英语-7c6b285312be
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（四川）英语高考真题/2023年高考英语试卷（全国甲卷）（空白卷）.pdf,2023,英语,SC,全国,全国甲卷,,12,,165564,df23dcf60ff5a385d03ec084d503005804621e825b4444fc5c10ca09395ab32a,,,temp_identity_duplicate,
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（四川）英语高考真题/2024年高考英语试卷（全国甲卷）（空白卷）.pdf,2024,英语,SC,全国,全国甲卷,,10,,466169,0895827c429ce0930a73138dba80dc7e88e44bc8fe14adb04da7cb2662216f38,,temp-2024-英语-6676c2bb0a17,same_identity_existing,temp-2024-英语-6676c2bb0a17
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（宁夏）英语高考真题/2008年高考英语试卷（宁夏、海南）（空白卷）.pdf,2008,英语,NX,HI-NX,地方卷,,15,,210361,59d2b901ea5cd01b2fe976e4726f76eb67b9a92de832da5dcf2715a34e9a03c2,文件名省份与目录省份不一致,,ambiguous_scope,
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（宁夏）英语高考真题/2009年高考英语试卷（全国Ⅱ卷）（空白卷）.pdf,2009,英语,NX,全国,全国2卷,,16,,157073,535dd1ad34c6fb7e86a71d03f9649e6cd18e9edbf7b882ab74328c68172cc5f3,,,temp_identity_duplicate,
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（宁夏）英语高考真题/2010年高考英语试卷（新课标Ⅱ卷）（空白卷）.pdf,2010,英语,NX,全国,全国2卷,,16,,169501,f849313bbf08b715073b737f544fcae81e0e77c814aee96e0ecf9d82108f33f4,,,temp_identity_duplicate,
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（宁夏）英语高考真题/2011年高考英语试卷（新课标）（空白卷）.pdf,2011,英语,NX,全国,新课标卷（未分卷）,,14,,176337,6a162b6d6cfa8b56e196b571b97c96c0e060d35145fc08581172f3bb1bb1c280,,,temp_identity_duplicate,
temp/版本2：英语（按省份分类）2008-2024/2008-2024·（宁夏）英语高考真题/2012年高考英语试卷（新课标）（空白卷）.pdf,2012,英语,NX,全国,新课标卷（未分卷）,,13,,188952,768f42e668b66897919ae8f9e2796fa3f7bd14e53cf86142b891c2d4c67039f4,,,temp_identity_duplicate,
